,Unnamed: 0,optical_flow_magnitude,keypoint_magnitude,video_names,segment_number,average_num_people,max_num_people,optical_flow_norm,keypoint_norm,acuity_score_of,acuity_norm_of,acuity_score_kd,acuity_norm_kd,low_high_acuity_of,low_high_acuity_kd
0,0,2.9056951999664307,7.043987367256542,Re-enactment of emergency room procedure for heart attack,seg_0000,2.525773195876289,5,0.3236956868623205,0.4078465125262793,0.002345620919292177,0.31603411497493855,0.0029554095110599947,0.22775802998691197,0,0
1,1,4.022192478179932,9.616163655847988,Re-enactment of emergency room procedure for heart attack,seg_0001,2.034482758620689,5,0.46314504887628327,0.5786012165433613,0.003356123542581763,0.45218284199411396,0.004192762438720009,0.32311438048512287,0,0
2,2,4.585195541381836,13.513927738733418,Re-enactment of emergency room procedure for heart attack,seg_0002,1.7032967032967032,3,0.5334635525640274,0.8373554688290721,0.00231940675027838,0.31250218377670436,0.0036406759514307483,0.2805679481694546,0,0
3,3,1.461079716682434,3.5470534509949263,Richard Wakes Up After Surgery - Grey_39s Anatomy,seg_0003,2.333333333333333,3,0.14326469842159123,0.17570149257294784,0.0006228899931373531,0.08392425480555163,0.0007639195329258602,0.05887130268634501,0,0
4,4,1.7401342391967771,3.753122667661147,Richard Wakes Up After Surgery - Grey_39s Anatomy,seg_0004,2.3,4,0.1781183213466754,0.18938146009886786,0.0010325699788213067,0.13912194281800505,0.0010978635368050311,0.08460662909875219,0,0
5,5,3.8670063018798833,8.730878812106129,Save My Life Boston Trauma (2015) Season 1 4,seg_0005,1.5806451612903225,4,0.4437624550261173,0.5198313133549876,0.002572535971165897,0.346607212700825,0.0030135148600289132,0.23223590683048903,0,0
6,6,3.905674695968628,10.269958984391344,Save My Life Boston Trauma (2015) Season 1 4,seg_0006,1.6756756756756757,4,0.4485920976871438,0.6220036179683065,0.0026005338996356164,0.35037947635702116,0.0036058180751785884,0.27788163305981955,0,0
7,7,4.4019775390625,9.496052973627574,Save My Life Boston Trauma (2015) Season 1 4,seg_0007,2.1333333333333333,3,0.5105798124676916,0.5706276324298603,0.002219912228120398,0.29909692165764856,0.0024809897062167837,0.19119696468157957,0,0
8,8,4.6028313636779785,9.149235689095766,Save My Life Boston Trauma (2015) Season 1 4,seg_0008,1.9673913043478264,4,0.5356662486348354,0.5476040616773802,0.0031053115862889006,0.41839002663328106,0.0031745162995790157,0.24464344986632244,0,0
9,9,4.1267356872558585,10.63986685230431,Save My Life Boston Trauma (2015) Season 1 4,seg_0009,1.8510638297872342,5,0.4762023881936323,0.6465600641105176,0.0034507419434321182,0.4649311263938411,0.004685217855873316,0.36106535656728084,0,0
10,10,3.193244218826294,6.257358233564585,Save My Life Boston Trauma (2015) Season 1 4,seg_0010,1.47,3,0.3596102636465203,0.35562589860858423,0.0015635228854196535,0.21065917654152394,0.0015461995591677575,0.1191575530378441,0,0
11,11,2.5871145725250244,4.264014853367858,Save My Life Boston Trauma (2015) Season 1 4,seg_0011,1.0795454545454546,2,0.2839052940744423,0.22329719299086243,0.0008229138958679487,0.1108742093158366,0.0006472382405532244,0.04987928273524628,0,0
12,12,3.4383313655853267,5.848352273499162,Save My Life Boston Trauma (2015) Season 1 4,seg_0012,1.2325581395348837,3,0.3902213962666162,0.3284739137458209,0.0016966147663765921,0.22859113411515805,0.0014281474510687865,0.1100598914529424,0,0
13,13,4.062148094177246,10.251086301820886,Save My Life Boston Trauma (2015) Season 1 4,seg_0013,2.2972972972972974,6,0.4681354642301082,0.6207507492047538,0.004070743167218332,0.5484661667028194,0.0053978326017804674,0.41598286632694337,0,0
14,14,3.924585103988648,9.897190023924614,Save My Life Boston Trauma (2015) Season 1 4,seg_0014,1.5595238095238095,4,0.45095398820427524,0.5972572373280788,0.0026142260185755086,0.3522242657923943,0.0034623607961048047,0.2668261271656774,0,0
15,15,4.368338108062743,10.092147907297036,Save My Life Boston Trauma (2015) Season 1 4,seg_0015,1.1645569620253164,4,0.5063782821254638,0.6101995756190849,0.0029355262731910942,0.3955142282810051,0.003537388844168608,0.27260814835659053,0,0
16,16,4.383194446563722,9.031822778432387,Save My Life Boston Trauma (2015) Season 1 4,seg_0016,1.32,5,0.5082338235282514,0.5398095699479317,0.0036828537936829816,0.49620440783752934,0.003911663550347331,0.3014515520995197,0,0
17,17,4.35549259185791,11.264025653437017,Save My Life Boston Trauma (2015) Season 1 4,seg_0017,1.3333333333333333,4,0.5047738903598428,0.6879950356635115,0.002926225451361407,0.39426109442151863,0.003988377018339197,0.30736345983274777,0,0
18,18,2.652226209640503,5.814426114064795,Save My Life Boston Trauma (2015) Season 1 4,seg_0018,1.6868686868686869,4,0.29203767059932434,0.3262217153493323,0.001692972003474344,0.22810033130025864,0.001891140378836709,0.145740346811724,0,0
19,19,3.561431169509888,8.987205914930488,Save My Life Boston Trauma (2015) Season 1 4,seg_0019,1.4657534246575343,4,0.40559643519979793,0.5368476659154483,0.002351283682317669,0.31679707981992045,0.003112160382118541,0.239838003830612,0,0
20,20,3.8902063369750977,9.517426629337187,Save My Life Boston Trauma (2015) Season 1 4,seg_0020,1.1884057971014492,4,0.4466601155541446,0.5720465290547323,0.0025893340032124325,0.34887047320787634,0.003316211762636129,0.25556318176919385,0,0
21,21,4.158827304840088,10.14950037661714,Save My Life Boston Trauma (2015) Season 1 4,seg_0021,1.810126582278481,5,0.4802105982317952,0.6140069367112618,0.0034797869437086606,0.4688444658773642,0.004449325628342477,0.3428863702607846,0,0
22,22,4.0893964767456055,8.923914632381427,Save My Life Boston Trauma (2015) Season 1 4,seg_0022,1.264367816091954,4,0.47153875919483046,0.5326460549036134,0.0027335580243178577,0.3683023048790972,0.0030878032168325416,0.237960923865604,0,0
23,23,2.8476483821868896,7.5894513714791385,Save My Life Boston Trauma (2015) Season 1 4,seg_0023,1.3733333333333333,2,0.31644569900811825,0.44405730608895794,0.0009172339101684587,0.12358229100061295,0.0012871226263448056,0.0991918421561587,0,0
24,24,2.10571551322937,4.8446374153816665,Save My Life Boston Trauma (2015) Season 1 4,seg_0024,1.0824742268041236,3,0.223779046565522,0.26184199808919423,0.0009729523763718346,0.131089444441101,0.0011384434699530184,0.0877339133536747,0,0
25,25,3.1117074489593506,10.735901076480252,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0025,1.5588235294117647,6,0.34942640493007276,0.6529353252453804,0.0030384904776528067,0.40938697343070957,0.005677698480394612,0.4375506730674895,0,0
26,26,4.091044902801514,8.657577602833134,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0026,1.7195121951219512,5,0.4717446459142244,0.5149651903178458,0.0034184394631465538,0.4605788946736259,0.003731631813897434,0.2875774431222345,0,0
27,27,4.031132698059082,7.766724018281224,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0027,1.3283582089552242,3,0.4642616731464355,0.455825604579724,0.0020185290136801545,0.2719638220919966,0.001981850454694452,0.152730900269716,0,0
28,28,3.2057790756225586,5.430607052853508,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0028,1.1538461538461535,3,0.36117585437144567,0.30074177041556677,0.0015703298016149813,0.21157629734216388,0.0013075729148502903,0.10076783946050608,0,0
29,29,3.08992600440979,7.351456894687661,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0029,1.1014492753623188,3,0.3467059249025362,0.42825797047480246,0.0015074170647936358,0.2030998334180678,0.001861991175977402,0.14349396945045487,0,0
30,30,4.235890865325929,10.056511667721496,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0030,1.24,4,0.4898357576961069,0.6078338530331203,0.0028396275808469963,0.38259344550960717,0.0035236745103369295,0.2715512560225851,0,0
31,31,3.637787342071533,10.49511359329172,Save My Life Boston Trauma (2015) Season 1 Episode 3,seg_0031,1.6551724137931034,6,0.41513324263974705,0.6369505750533976,0.0036098542838238876,0.4863689159632137,0.00553870065263824,0.4268388338777669,0,0
